Actor_ID,Name,Abb
1,"Government , Office of the Prime Minister ",OPM
2,United Nation High Commissioner for Refugees ,UNHCR
3,International Aid Services ,IAS
4,United Nations International Children's Emergency Fund ,UNICEF
5,United Nations Population Fund ,UNFPA
6,World Food Programme ,WFP
7,United Nation Food Assistant Organization ,FAO
8,Action Africa Help ,AAH
9,Action Against Hunger ,ACF/ AAH
10,Adventist Development and Relief Agency ,ADRA
11,Africa Development Corps ,ADC
12,African Initiatives for Relief and Development ,AIRD
13,African Medical and Research Foundation ,AMREF
14,Agency for Cooperation and Research in Development  ,ACORD
15,American Refugee Committee ,ARC
16,The Association of Volunteers in International Service ,AVSI
17,Care International ,CARE Int.
18,Caritas  ,Caritas
19,Community Empowerment for Rural Development ,CEFORD
20,Concern World Wide ,CWW
21,Danish Refugee Council ,DRC
22,Finnish Refugee Council ,FRC
23,HelpAge International ,HelpAge
24,Interaid Uganda ,IAU 
25,International Rescue Committee�,IRC
26,Cesvi Onlus - Cooperazione e Sviluppo ,CESVI
27,Volunteer Efforts for Development Concerns ,VEDCO�
28,M�decins Sans Fronti�res ,MSF
29,Rural Initiative for Community Empowerment ,RICE
30,Medical Teams International ,MTI
31,Transcultural Psychosocial Organization ,TPO
32,Obadiah Brothers Canada ,OBK
33,United Nations Entity for Gender Equality and the Empowerment of Women ,UN Women
34,Plan International Uganda ,PLAN
35,Real Medicine Foundation ,RMF
36,Ugandan Refugee and Disaster Management Council ,URDMC
37,Touch Africa ,TAN
38,Norwegian Refugee Council ,NRC
39,Tutapona ,Trauma Rehabilitation�
40,Ugandan Red Cross Society ,URCS
41,Samaritan's Purse ,SP
42,War Child Canda ,WCC
43,Water Mission International ,WMI
44,Welthungerhilfe ,WHH
45,Windle Trust Uganda ,WTU 
46,World Vision International ,WVI
47,ZOA- Uganda ,ZOA
48,Peace Winds Japan,Peace Winds
49,Oxfam ,OXFAM
50,Food for the Hungry ,FH
51,Save the Children ,SCI
52,War Child Holland ,WCH
53,Peter C. Alderman Foundation ,PCAF
54,DanChurchAid ,DCA 
55,Finn Church Aid ,FCA
56,Lutheran World Federation ,LWF
57,World Health Organization ,WHO
58,Reproductive Health Uganda ,RHU
59,International organization for migration ,IOM
60,Humanitarian Initiative Just Relief Aid ,HIJRA
61,Right to Play ,RtP
62,Here is Life,Here is Life
63,Malteser International ,MI